,0
993,Someone very close to me died the other day. Luckily the bus wasn't full so I just changed seats.
994,Sometimes I use long words I don't fully understand. To try and make myself sound more photosynthesis.
995,I got to work this morning to find a lump of Plasticine on my desk. I don't know what to make of it.
996,When is a door not a door? When it's ajar.
997,What do you call a Bear that's missing an ear? A 'B'
998,My crazy mate just jumped into a river in Paris. He's in Seine.
999,What's black and white and eats like a horse? A Zebra.
1000,I'm making a show about two detectives who solve crimes over the phone. It's called Star Key and Hash.
1001,My mate just lost both hands in a horrible accident. I can't even begin to imagine how he feels.
1002,What do you call a woman with one leg shorter than the other? Eileen.
1003,The only time incorrectly isn't spelled incorrectly is when it's spelled incorrectly.
1004,My toothpaste gets jealous when I try to use other brands. It's ultra-sensitive.
1005,I met a girl in town who told me she'd show me a good time. Then she ran 100m in 9.69 seconds.
1006,"After a recent accident, I managed to save loads of money on my car insurance. By driving away really quickly."
1007,"There's no ""I"" in Denial."
1008,A cement mixer collided with a prison van. People are warned to be on the lookout for 15 hardened criminals.
1009,"My dog just chased some kid on a bike, I had no idea my dog could even ride a bike."
1010,Financially I'm set for life. As long as I die next Thursday.
1011,"I dated a girl with a lazy eye, but it didn't work out. She was seeing someone else on the side."
1012,What do you call a row of boxers stood side by side? A punchline.
1013,The doctor who did my circumcision was terrible. He got the sack.
1014,I forgot to go to the gym today. That's 7 years in a row now.
1015,An old lady at the bank asked if I could help her check her balance. So I pushed her over.
1016,Did you hear about the elf that got pick-pocketed? How could anyone stoop so low?
1017,I have decided to write all my jokes in capitals from now on. This one was written in London.
1018,My wife laughed when I told her I was going to make a car out of spaghetti. She soon shut up when I drove pasta.
1019,Did you hear about the dyslexic rock star? He choked to death on his own Vimto.
1020,What do you call a man with a seagull on his head? Cliff.
1021,"My friend told me today that I don't understand what irony is. Which was ironic, because we were at a bus stop."
1022,How do you make a cat flap? Throw it off a cliff.
1023,What word becomes shorter when you add letters to it? Short.
1024,Why don't snakes have balls? Because they're terrible dancers.
1025,Why don't boxers have sex the night before a fight? Because they don't fancy each other.
1026,I'm a virgin for religious reasons. God made me really ugly.
1027,Sometimes I put my head between my legs and lean forward. That's just how I roll.
1028,I thought if I took the shell off my racing snail it would go faster. If anything it seems more sluggish.
1029,"I just recently ended a 5 year relationship. It's OK though, it wasn't my relationship."
1030,What has four legs and goes boo? A cow with a cold.
1031,Two drums and a cymbal fall off a cliff. Ba dum tish!
1032,I was trying to fix my computer when I got a bad shock off the processor. It megaHz.
1033,"If you ever get attacked by a circus, go for the juggler."
1034,Last night my mate and I watched all 3 'Lord of the Rings' movies back to back. Luckily I was the one facing the TV.
1035,I can jump higher than the average house. Because the average house can't jump.
1036,My best mate told me to treat his house as if it were my own. So I sold it.
1037,Why don't cannibals like clowns? Cos they taste funny.
1038,It's difficult for me to say what my wife does for a living. She sells sea shells by the seashore.
1039,I was struggling to work out how lightning works. Then it struck me.
1040,"I was gonna tell a joke about pizza, but it's too cheesy."
1041,I stayed up all night wondering where the sun had gone. Then it dawned on me.
1042,"..and the Lord said unto John ""Come forth and receive eternal life"". But he came fifth and won a toaster."
1043,What do you call a girl standing between two goal posts? Annette.
1044,How do football players cool down during a game? They stand near the fans.
1045,I've been thinking about selling my John Lennon memorabilia on eBay. Imagine all the PayPal.
1046,I'll never tell anyone that I'm secretly addicted to eating glue. My lips are sealed.
1047,"How many people who are terrible at telling jokes, does it take to change a light bulb? To get to the other side."
1048,"A hypnotist once convinced me I was a soft, malleable metal with the atomic number 82. I'm easily lead."
1049,A book just fell on my head. I've only got my shelf to blame.
1050,"What do you call a kid with one arm, buck teeth, a monobrow and an eyepatch? Names."
1051,I was gonna tweet a really good joke but the stupid autocorrect on my phone keeps ruining the lunchtime.
1052,"I got my hair cut yesterday. At first I didn't like it, but it's growing on me."
1053,I just saw some guy chatting up a cheetah. He's trying to pull a fast one.
1054,"Whoever stole my copy of Microsoft office, I will hunt you down and I will make you pay. You have my word!"
1055,The wife insists we need more garden furniture. Not sure if I agree. I'm on the fence.
1056,I never go to funerals. I'm just not a mourning person.
1057,Why doesn't Mike Tyson play Playstation? He's an Xboxer.
1058,"Two fish in a tank. One says to the other; ""You man the guns and I'll drive"""
1059,"I don't know why, but someone keeps mysteriously adding soil to my allotment patch each night. The plot thickens."
1060,Why did the picture go to jail? Because it was framed.
1061,A sandwich walks into a bar. The barman says 'Sorry we don't serve food in here'
1062,Why couldn't the sesame seed leave the casino? Because he was on a roll.
1063,What's round and bad tempered? A vicious circle.
1064,"If you have a referee in football, what do you have in bowls? Cornflakes."
1065,On which side do chickens have the most feathers? The outside.
1066,I went to the doctors the other day and asked if he had anything for wind. So he gave me a kite.
1067,Slept like a log last night. Woke up in the fireplace.
1068,Why was Cinderella kicked off the football team?Because she kept running away from the ball.
1069,I cleaned the attic with the wife the other day. Now I can't get the cobwebs out of her hair.
1070,What's brown and sticky? A Stick.
1071,Why did the yogurt go to the art exhibition? Because it was cultured.
1072,I won't rest until I find a cure for Insomnia!
1073,Did you hear about the red ship that crashed into the blue ship? All of the sailors were marooned.
1074,What sound does a nut make when it sneezes? Cashew!
1075,Did you hear about the overly sensitive burglar? He was always taking things personally.
1076,I put a wooden desk and a blackboard in my living room. I wanted to make it look more classy.
1077,I spent most of last night in jail. Couldn't roll a double for the life of me.
1078,I stubbed my toe in a library once. I had to suffer in silence.
1079,I've just stolen loads of swimming inflatables. I'd better lilo.
1080,Which word in the Dictionary is always spelled wrong? Wrong.
1081,What do you call a deer with no eyes? No idea. What do you call a deer with no eyes and no legs? Still no idea.
1082,What lies at the bottom of the ocean and twitches? A nervous wreck.
1083,"Why is an elephant big, grey and wrinkly? Cos if it was small, white and smooth it would be an aspirin."
1084,What cheese is made backwards? Edam.
1085,What do you call a Boomerang that doesn't come back? A Stick.
1086,What's white and can't climb trees? A Fridge
1087,"Knock, Knock. Who's there? Chester. Chester who? Chester Drawers."
1088,"Knock, Knock. Who's there? Euripides. Euripides who? Euripides trouser, you menda these trousers."
1089,"Knock, Knock. Who's there? Thistle. Thistle who? Thistle be the last time I knock."
1090,"Knock, Knock. Who's there? Tuna. Tuna who? Tuna violin."
1091,"Knock, Knock. Who's there? Adder. Adder who? Adder big breakfast this morning."
1092,"Knock, Knock. Who's there? Francis. Francis who? Francis next to Germany."
1093,"Knock, Knock. Who's there? Dishes. Dishes Who? Dishes just another bad knock knock joke."
1094,"Knock, Knock. Who's there? Disguise. Disguise who? Disguise d' limit !"
1095,"Knock, Knock. Who's there? Radio. Radio who? Radio not, here I come!"
1096,"Knock, Knock. Who's there? Yah. Yah who?I didn't know you were a cowboy."
1097,"Knock, knock. Who's there? Woo. Woo who? Don't get so excited, it's just a joke."
1098,"Knock, Knock. Who's there? Panther. Panther who? Panther what you wear under your troutherth."
1099,"Knock, Knock. Who's there? Control freak. Now you say control freak who!"
1100,"Knock, knock. Who's there? Dismay. Dismay who? Dismay be a bad joke but I think it's funny."
1101,"Knock, knock. Who's there? Cargo. Cargo who? No Car go vroom vroom."
1102,"Knock, knock. Who's there? Nobel. Nobel who? No bell so I had to knock."
1103,"Knock, knock. Who's there? Wooden Shoe. Wooden Shoe who? Wooden Shoe like to hear another joke?"
1104,"Knock, knock. Who's there? Alex. Alex who? Alex the questions around here!"
1105,"Knock, knock. Who's there? Hawaii. Hawaii who? I'm fine thank you Hawaii you?"
1106,"Knock, knock. Who's there? Dumbell. Dumbell who? Dumb bell doesn't work so I had to knock."
1107,"Knock, knock. Who's there? Adore. Adore who? A door is between us. Open up!"
1108,"Knock, Knock. Who's there? Europe. Europe who? Don't call me a poo!"
1109,"Knock, Knock. Who's there? Doughnut. Doughnut who? Doughnut ask, it's a secret."
1110,"Knock, knock. Who's there? Hatch. Hatch who? Bless you!"
1111,"Knock, knock. Who's There? Impatient Cow. Impatient Cow wh...Mooooo!"
1112,"Knock, Knock. Who's There? Boo. Boo Who? No need to cry it's just a joke"
1113,"Knock, Knock. Who's there? Dishes. Dishes who? Dishes the Police come out with your hands up."
1114,"Knock, Knock. Who's there? A Pile-Up. A Pile-Up Who? Ewwwwww"
1115,"Knock, knock. Who's there? Old lady. Old lady who? Wow I didn't know you could yodel."
1116,"Knock, knock. Who's there? Dwayne. Dwayne who? Dwayne the bathtub, I'm dwowning."
1117,"Knock, knock. Who's there? Ivor. Ivor who? Ivor sore hand from knocking!"
1118,I'm going on a blind date tonight. I hope our dogs get on.
1119,"Went to a chemist yesterday and said to the pharmacist ""Excuse me I'm after some condoms"" ""Just a minute"" he replied. I said""Yes thats them"""
1120,Have you heard about the new super sensitive condoms? They hang around after the man leaves and talk to the woman.
1121,"What gets longer when pulled, fits between breasts, Inserts neatly in a hole and works best when jerked? A seatbelt."
1122,"I got an email today from a '32 year old bored housewife, looking for some action'. I've sent her my ironing, that'll keep her busy!"
1123,"I've been getting anonymous texts from someone telling me to shower, comb my hair and brush my teeth. I think they might be trying to groom me"
1124,FOR SALE: Packet of Polo's. Unopened mint condition.
1125,Yesterday I found out that my toaster isn't waterproof. I was shocked.
1126,"People ask if I still enjoy sex at 45?! I live at number 57, so it's not far to go"
1127,Going to see Peter Pan again tonight. Never gets old.
1128,Tea is for mugs.
1129,"A bloke was shagging his overweight missus, when his phone rings.""You'll have to ring me back mate, I'm in the tub"" he said."
1130,Ketamine - just say neigh.
1131,What's the best thing for a hangover? Drink loads the night before.
1132,"I drove past my gran's house this morning and saw 11 pints of milk on her doorstep. I thought, 'she must be thirsty today'"
1133,How much does a grand piano cost? £1000
1134,"My dad used to say: ""Always fight fire with fire"". Which is probably why he got thrown out of the fire brigade."
1135,"I'm not saying the wife's fat, but she puts her belt on with a boomerang."
1136,My Mrs has been told she'll have to lose weight if she wants to become pregnant.I told her.
1137,"What's big, grey and doesn't matter? An irr-elephant."
1138,My wife said that I'll find any excuse to drink. Speaking of beer...
1139,"Female wanted, must have own pub. Apply with inn."
1140,"If it's got tits or wheels, sooner or later you're gonna have problems with it."
1141,"I said to my wife:""If you lick my balls I'll come"". She said; ""Fuck off, you're coming shopping with me whether you like it or not!"""
1142,What's green and smells of pork? Kermit the frogs fingers!
1143,The Mrs is just like Heather Mills. She only wears half the shoes she buys!
1144,I recently lost my job as a teacher. I got caught shagging the ugliest teacher in the whole school. Gross Miss Conduct
1145,"My doctor reckons I'm paranoid. He didn't say it, but I know he's thinking it."
1146,Over 90% of people over 60 believe that we show less respect to others than we did in the past. Silly old fuckers!
1147,My uncle was jailed for his beliefs. He believed you could wank on the bus.
1148,Why do men die before their wives? They want to.
1149,"My wife is temperamental. 50% temper, 50% mental."
1150,"Wife to husband: ""let's go out and have some fun tonight"". Husband: ""OK, but if you get home before I do, leave the hall light on"""
1151,"My grandfather gave me some sound advice on his deathbed. He said ""It's worth spending money on a good set of speakers"""
1152,What's worse than a cardboard box? Paper tits.
1153,"Local news: 'Amputee robber evaded police for 15 days'. That's amazing, considering he wasn't armed."
1154,What do you call an aardvark that's just been beaten up? Vark.
1155,"I was recently on safari in the Serengeti and witnessed two male male lions shagging. I thought ""blimey, have they got no pride?"""
1156,I always call out my wife's name during sex. Just to make sure she's not around.
1157,"Did you hear about the man who fell asleep at the wheel? There was a terrible mess, clay everywhere..."
1158,"Did you hear about the terrible accident at Spaghetti Junction? Twelve people were injured, and three pastaway."
1159,What's the last thing that goes through a fly's mind when it his a windscreen? It's arse!
1160,"The Mrs got in the shower with me this morning. She said ""Mmm baby I want you to do bad things to me"". So I put shampoo in her eyes."
1161,"I told my cat I was going to teach him to speak English. He looked at me and said ""Me how?"""
1162,"I'm very good at remembering random facts. For example, there are 3,500 different types of lice. And that's just off the top of my head."
1163,"Never have a tactical wank before sex! Trust me, I learned that the soft way."
1164,"My mates laughed at me because my girlfriend is imaginary... Jokes on them, they are too!"
1165,"My Mrs has recently started eating sofas, it's weird... But then again she's always had a suite tooth."
1166,My wife is so ugly she spent 5 hours in the beauty salon... Just getting a price.
1167,How do frogs die? They Kermit suicide.
1168,I just watched a program about beavers. It was the best dam program I've ever seen!
1169,There are only 3 things that tell the truth: 1 - Young Children 2 - Drunks 3 - Leggings
1170,"Last night in bed, my wife said we should try some role reversal. So I said I had a headache."
1171,I thought that pulling the shell off my racing snail would help it move faster. If anything it became more sluggish.
1172,Why do squirrels swim on their backs? To keep their nuts dry!
1173,My girlfriend laughed at me when I said I had a car made from spaghetti. You should've seen her face when I drove pasta.
1174,I think my spell Czech is broken.
1175,Just bought a suit made from cactus.I look pretty sharp in it.
1176,My wife is very big in fashion. She's a size 22.
1177,"I saw a woman wearing a t-shirt with ""Guess"" on it. I said ""Implants?"""
1178,2 Thai birds asked me to join them for a threesome. It was just like winning the Lottery. We had 6 matching balls.
1179,Guess who I bumped into in the opticians today? Everybody.
1180,I felt like I was on the voice today! I farted on the bus and 4 people turned around.
1181,"An Arab offered me 40 camels for my wife. Unfortunately, I don't smoke."
1182,Marriage is a relationship where one person is always right and the other is the husband.
1183,Some people think there are insects on the Moon. Lunar tics.
1184,Never get stuck behind the Devil in a Post Office queue! The Devil can take many forms.
1185,Always follow your dreams. Except for that one where you're naked at work.
1186,Did you hear about the guy who bought a sponge door? Can't knock it.
1187,"A kitchen knife and a spoon had a race. Who won? Neither, it ended in a drawer."
1188,Never moon a werewolf.
1189,"If it wasn't for blinds, it would be curtains for us all."
1190,Thought I could hear onions in the fridge singing beegees songs... Turned out it was the chives talking
1191,"My boss has just warned me that he has received complaints I'm a pervert. To be honest, I don't understand why, as I'm always hard at work"
1192,My clever friend said that onions are the only food that can make you cry. So I threw a coconut in his face.
1193,A funeral was held today for the inventor of air conditioning. Thousands of fans attended.
1194,Got thrown out a strip club last night for using monopoly money. I don't see why I should pay real money to see fake boobs.
1195,Just spent the last hour tightening every bottle top and jar in my house. That will teach my wife for saying she doesn't need me anymore.
1196,My wife broke up with me recently because I'm a compulsive gambler. All I can think about is how to win her back.
1197,"I went up to the manager in Argos today and I said, ""I want to buy a watch.""""Analogue?"" he said. I said, ""No mate, just a watch."""
1198,"Yesterday a clown held a door open for me, I thought it was a nice Jester."
1199,Mexican friends? I have Juan or two.
1200,What do you call a monkey in a minefield? BABOOOOOOM!
1201,Do not trust atoms. They make up everything.
1202,Isn't it great to live in the 21st century? Where deleting history has become more important than making it.
1203,"I hate being bipolar, it's amazing."
1204,What do women and Google have in common?  They both can't ever let you finish a sentence without making a suggestion.
1205,"I just opened a kitchen cupboard and loads of Omega 3 capsules fell on my head. I'm alright though, just some superfishoil injuries."
1206,"My girlfriend from Thailand said having a small dick is no problem. I really like her, but I think I'd still prefer it if she didn't have one."
1207,"Whenever it rains, my wife just stands at the window looking kind of sad. Maybe I should let her in."
1208,A boat carrying red paint has crashed into a boat carrying blue paint. The crew have been marooned.
1209,"Its not my fault I have a double-chin. When God was giving out chins, I thought he said Gin. So I said I'll have a double."
1210,My wife told me to prepare our ginger son for his first day at school. So I beat him up and took his dinner money off him.
1211,Took the wife's Valentines present back today. She said she wanted something black and lacy. Turns out she didn't mean football boots.
1212,My sister asked me if I wanted to wind her new born baby? I thought that's a bit harsh so I just gave him a dead leg instead.
1213,I cant think of any boat jokes. Canoe?
1214,What should you do if your girlfriend starts smoking? Slow down and consider lube.
1215,Have you heard about the evil group of men who control all the world's cheese? The Hallouminati!
1216,"Went to a butchers to play poker last week. Left after an hour, the steaks were too high."
1217,"Man jumps in a taxi says ""King Arthur's Close"". Taxi driver says ""Don't worry I'll lose him at the lights""."
1218,"I called my dad from the shop saying I'd forgotten what orange juice he asked for. ""Concentrate"" he said, but I still couldn't remember!"
1219,"I just bought some of that coconut shampoo. I don't know why, I've not got a coconut."
1220,Want to hear a construction joke? I'm working on it.
1221,Did you hear about the Italian chef with a terminal illness? He pastaway. Cannoli do so much. Now hes just a pizza history.
1222,"As its Valentines Day, the missus has said she'll go on top tonight for a change. I love our bunk beds!"
1223,There's been an explosion at a pie factory in Huddersfield. 3.14159265 dead.
1224,I'm in trouble with my wife after she asked where I was taking her today? It seems that over the coffee table was not what she wanted to hear.
1225,"Is it better to have loved a midget, than never to have loved a tall?"
1226,Today I looked at my wife and thought: This is the only investment which has doubled in my lifetime.
1227,Learning to love yourself is important. Just don't let your partner catch you doing it!
1228,"If love is blind, why is lingerie so popular?"
1229,Got the missus a new bag and a new belt for Valentines Day. She'll be made up! The hoovers as good as new now.
1230,What did one light bulb say to the other on Valentine's Day? I love you watts.
1231,What gifts do squirrels exchange on Valentine's Day? Forget-me-nuts.
1232,Just been on to travel agents looking for a weekend away somewhere in the Northeast. They said you can't beat Sunderland this time of year.
1233,My wife said our marriage is becoming stale because I'm not spontaneous. So I waited until she fell asleep and shaved her eyebrows off.
1234,"Our last fight was my fault. My wife asked, ""What's on the TV?"". I said ""Dust!""."
1235,"Breaking News Adam Johnson is set to sign for Man United, after hearing they have players Young, Blind and Keane."
1236,"Ugly birds are just like shopping at Pound Stretcher. You wanna be in and out quickly, before your mates see you!"
1237,Even though I've been married for five years I still can't help thinking about the one that got away. My wife's ex. What a lucky bastard.
1238,I have SEXDAILY! I mean DYSLEXIA. Fcuk!
1239,I heard the funniest time travel joke tomorrow.
1240,I almost forgot to update my status that I'd been to the gym. What a waste of a workout that would have been!
1241,"I've just won 8 straight games of Paper, Scissors, Rock, against that very predictable Edward Scissorhands."
1242,The amount of people who confuse 'to' and 'too' is amazing two me.
1243,What's the difference between a dog and a fox? About 9 pints
1244,"""You haven't listened to a word I've said, have you?"" Always seems like a strange way for my wife to start a conversation with me."
1245,Just found out I have a Chinese half brother after all these years. Can't wait to meet Mi Sib Ling.
1246,I was watching porn last night when my mum walked in. Not the best way to find out what she does for a living.
1247,I love cooking children and dogs. but I hate using commas.
1248,"I finally told my girlfriend that ""I Love Her"". She text backing saying ""I luv u2"". I was gutted, I thought what does Bono have that I don't"
1249,What's long and hard and makes women groan? An Ironing Board.
1250,If women are so perfect at multi-tasking. How come they can't have a headache and sex at the same time?
1251,"We call our grandad ""Spiderman"". He hasn't got any super powers - he just finds it difficult to get out of the bath."
1252,I can give you one vegetable joke about onions. But that's shallot.
1253,Went for a job as a potato packer. Ended up getting the sack.
1254,Why did the joke about the roof get no laughs? It went over their heads.
1255,"My brother says I need to stop quoting Run-D.M.C., but it's like that, and that's the way it is."
1256,I know a man who taught his dog to play the trumpet on the London Underground. He went from Barking to Tooting in an hour.
1257,I was playing rugby the other day and thought I'd scored a goal. But everyone just said nice try.
1258,"We've been trying to think of some vegetable jokes. If you can think of any, lettuce know."
1259,Have you ever tried to eat a clock? It's time consuming.
1260,Harry heard that most accidents happen within two miles of home. So he moved...
1261,"Men at 26 plays football, Men at 40 plays tennis, Men at 60 plays golf, have you noticed every time you get older, your balls gets smaller?"
1262,"I've been single for so long now, when somebody says to me, 'Who are you with?', I automatically say: 'Vodafone'."
1263,Andy Murray has the perfect opportunity to finally get rid of his miserable boring persona! All he has to do is name his new daughter Ruby.
1264,I started a band called 999 Megabytes We haven't got a gig yet.
1265,"When you get a bladder infection, urine trouble."
1266,"There was a prison break and I saw a midget climb the fence. As he jumped down he sneered at me. I thought, well thats a little condescending."
1267,"I can't believe it's pancake Tuesday again. Honestly, it just crêped up on me."
1268,My wife asked me to bring home some stuff for the pancakes. She wasn't happy when I came back with a push up bra.
1269,Lazy People Fact #5626728943: You were too lazy to read that number.
1270,"As I watched the dog chase his tail, I thought ""Dogs are easily amused."". Then I realized I was watching the dog chase his tail."
1271,What do you do if your wife keeps moaning at you? Put the phone down and order another drink from the bar.
1272,"My mother-in-law got ambushed by 6 men who starting punching her. My wife shouted 'Are you gonna help?', I said '6 should be enough!'"
1273,I remember the days when 'Blue Ray' was an elderly gentleman who drowned in our local swimming pool.
1274,Found out recently that my wife had an affair with a midget. I can't believe she would stoop so low.
1275,"My recent Google searches: How to detangle my daughter's hair. How to detangle a really, really bad tangle. How to cut out a tangle. Hats."
1276,Why is abbreviation such a long word?
1277,I had an argument with my friend about his small boat. We fell out.
1278,"The new milk tray man from Liverpool, has been sacked after one day on the job. He delivered the chocolates, but left with a PS4, ipad and TV."
1279,Did you hear about the midget who speaks to dead people that broke out of prison? The police are describing him as a small medium at large.
1280,Went to the annual disco for the UK Dyslexic Association last night. Was great until the DJ played YMCA and then it was fucking mayhem.
1281,Butterflies just aren't what they used to be.
1282,"My Wife has grown a little penis after she started taking steroids.""Really, anabolic?"" ""No, just a little penis""."
1283,"I wrote 'DIVORCE', my wife wrote 'YES'. Tough way to find out, but at least I won our last game of Scrabble."
1284,I think I've cured my wife's fear of being buried alive. The screams stopped about an hour ago.
1285,"People think I'm stupid, because I have a lisp. I'm thick of it."
1286,The good thing about marriage is that you can have sex at anytime you want. As long as you are the one with the vagina.
1287,"What do you call an Alien who eats too much cheese, egg yolks and animal fat? An extra-cholesterol."
1288,About to watch a film with my girlfriend. Can anyone recommend a girlfriend?
1289,"I absolutely hate my mother-in-law. She's actually quite a nice person, but she brought my wife into the world."
1290,"Leicester are offering Man city fans a great offer on walkers crisps. It's buy one, get 1-3."
1291,I was shopping with the wife for a present for her mother. She said she wanted something electric. I suggested a chair.
1292,"Maybe we should tone it down a notch. The neighbours changed the name of their wifi network to;""We can hear you having sex""."
1293,"My girlfriend left me because she says I only ever think about football. I'm gutted, we'd been together for nearly three seasons."
1294,"You put 2 fingers in. Maybe 3, if it's big enough. Oh yeah, now that's how you wash a mug."
1295,My wife says I'm spoken for.
1296,Two reasons why I don't drink toilet water. Number 1: Number 2
1297,"My girlfriend disliked my obsession with Japanese food, Sushi left me."
1298,A British prisoner has squeezed 4 smuggled mobile phones out of his arse. All chargers have been dropped.
1299,I met my wife at speed dating. She was livid.
1300,How much did it cost the pirate to get his ears pierced? A buck an ear.
1301,Just had a look when Sinead O'Connor was last trending on Twitter. It's been 7 hours and 15 days.
1302,"It's really difficult to find what you want on eBay. I was searching for cigarette lighters but found over 15,000 matches"
1303,"Mrs and 3 of her pals squeezed into my car after weight watchers. I muttered ""fat cows"". The Mrs snapped ""What was that!?"". I said ""You Herd"".."
1304,I took the mother in law out the other night. I love being a sniper.
1305,"Paddy on a 1st Aid Course Instructor asks: ""What do you do if your child swallowed the front door key?"". Paddy: ""Climb through the window!""."
1306,Did you hear about the fella who had five cocks? His undies fit like a glove.
1307,"Mary has 24 cupcakes she eats 9 at lunchtime, then she eats another 6 at dinner time. What does Mary have now? Diabetes"
1308,"I pulled a proper fit bird Saturday night! Part Mexican and right up for it. She told me she was dyslexic. I said get your taco, you've pulled!"
1309,"No means no, unless she's dyslexic. Then it's on!"
1310,The wife said she wanted to go and see Jeremy Kyle Live for her birthday. So I got her sister pregnant! We're on next Wednesday!
1311,"Just had a nice chat with my neighbours teenage daughter. Turns out she's right into UFOs. Which is handy, as she's getting abducted tomorrow."
1312,The wife complains that I don't take any interest in our children. That's the last time I offer to pick up the fat one from school!
1313,"20 seconds left on the microwave! Women:  Set the table, pour the wine, tweet, check Facebook. Men: Start a NASA rocket launch countdown."
1314,"I've just phoned and reserved a table to take the Mrs out on valentines night! She will be raging, she hates snooker!"
1315,When I was young I used to think Earwigs actually lived in your ears! You can imagine how terrified I was of cockroaches!
1316,I've just found out that the guy that stole my journal has died. My thoughts are with his family.
1317,"My sex doll and I have been together for exactly a year today. To celebrate our anniversary, I decided to get her a book: Sex tips for Dummies"
1318,I can get you 5000 tampax for a fiver. No strings attached.
1319,Spent all of my wages on skin cream. Bit of a rash decision!
1320,Stevie Wonder was given a cheese grater for his birthday. He said that was the most violent book he'd ever read!
1321,Went to a swinger's party last night in my army uniform. Had to leave my khakis in the bowl.
1322,My parents used to beat me with a phone. I was always on the receiving end.
1323,Beware of alphabet grenades! They could spell disaster!
1324,RomeoandJuliet.doc is a play on Word.
1325,Exercise bikes get you nowhere.
1326,You know you're ugly when a boiling kettle won't even give you a whistle.
1327,"My wife said she's leaving me because she can't handle my OCD. ""Close the door ten times on your way out,"" I said."
1328,"I hate all this terrorist bollocks! Gone are the days when you could look at an unattended bag on the tube and think, I'll fucking have that!"
1329,My wife bought a sheepskin burka for the cold weather.She looks like mutton dressed Islam.
1330,To the thief in the wheelchair who nicked my camouflage jacket. You can hide but you can't run.
1331,Dim light bulbs or bright light bulbs? Watts the difference.
1332,My wife dresses to kill! Unfortunately she cooks the same.
1333,I've just hired a hot 19 year-old Swedish girl with massive tits to babysit my kids. Now where the fuck do I get some kids from?.
1334,My driving instructor told me to wear a seatbelt or the force could throw me out of the car. I can't believe he thinks Star Wars is real.
1335,I'd love to live in an old disused lighthouse. I don't want anything flashy.
1336,I was terrible at spelling when I was at school. Brilliant at jografy though.
1337,I had a dream I was a muffler last night. Woke up exhausted.
1338,"Might wake up early and go for a jog. Might also win the lottery, odds are about the same."
1339,"My wife's a terrible cook, she can never get her sauces right! But I've stuck with her, through thick and thin."
1340,"I'm not saying I'm an ugly cunt, but I fucked a blind girl once who asked for the light off."
1341,Life is like a box of chocolates. It doesn't last long if you're fat.
1342,Boredom is an anagram of bedroom. My wife gets this.
1343,My blonde 19 year old next door neighbor has just asked me if I know about missing items from her washing line? I nearly shit her knickers
1344,"Scientists say that sniffing Rosemary can increase memory by 75 percent, but every time I try she slaps me and says I'm a creep."
1345,"My dentist is a miserable fellow, always looking down in the mouth."
1346,What's the difference between a penis and a bonus? Your missus will blow your bonus!
1347,My wife says that my lying is ruining our marriage. But I reckon it's my big dick.
1348,"Sunbathing on the beach, the wife came up to me asked what I thought of her flip flops? ""Bloody horrible"", I said ""Put your bikini top back on""."
1349,"If moths like light so much, why don't they just come out during the day?"
1350,"Did you hear about the new restaurant on the Moon? The food's ok, but it has no atmosphere."
1351,My dentist reminded me of my wife's sensitive gag reflex. We laughed and laughed. Then I remembered that my wife and I have different dentists.
1352,BREAKING: Police are trying to rescue a cow lost in a cannabis field. The steaks have never been higher.
1353,How does Stephen Hawking recover from a hangover? He presses F5.
1354,Someone dropped their Scrabble in the middle of the road. That's the word on the street anyway.
1355,You know you're a good mum when you sacrifice your vibrator batteries for your kids toys.
1356,I ate a ploughman's lunch the other day. He wasn't very happy.
1357,If you have sex on a boat. Is that considered off-shore drilling?
1358,"A customer was buying condoms at work today. I asked if he'd like a bag? He said, ""No, she's not that ugly."""
1359,"Last night i tried wife swapping for the first time, it's brilliant! I managed to get a new lawnmower for mine."
1360,Why is your mum like Princess Jasmine? She's always got Aladdin!
1361,I told her I had lightning quick reflexes. Sounds better than premature ejaculator.
1362,"""None of those women have what I'm really looking for"".""Oh yeah? What's that?"".""Low Standards""."
1363,What do you call two old women who lick each others naughty bits? LesbiNans
1364,"'How would you like your eggs?' the waiter asked. ""Sunny-side up, please"" I requested. ""Madam?"" he asked my wife. ""In a big cake,"" she wheezed."
1365,"I walked down a street where the houses were numbered 64K, 128K, 256K, 512K and 1MB. That was a trip down memory lane."
1366,My wife says she's leaving me because of my addiction to antidepressants. Won't be needing them anymore then.
1367,"Tomorrow, I'm going to open up the time capsule I made when I was a kid. I can't wait to see how big my puppy is."
1368,Police are looking for a man on suspicion of beastiality. He was last seen yesterday at 10:00am getting into a Jaguar..
1369,I've just bought some Tesco viagra. I only got a semi but every little helps!
1370,Went shoplifting in a Disney Store. Got the biggest Buzz ever.
1371,My wife used to be a size eight. Now she's a figure eight.
1372,I've been searching for my stolen bed for three days! I won't rest until I find it.
1373,My wife was so sick this morning that I had to carry her to the kitchen to make my breakfast.
1374,"First thing this morning, there was a tap on my door. Funny sense of humour my plumber has..."
1375,My wife walked out on me after I blew our life savings on a penis extension. She said she just couldn't take it any longer.
1376,"I love my wife, she always gives me 100% sound advice. 99% sound, 1% advice."
1377,Whoever decided to call it anal bleaching instead of changing your ringtone really missed out on an opportunity.
1378,"I'm not saying my wife's fat, but I struggle to lift her photograph."
1379,"Yesterday, a feminist asked me how I view lesbian relationships. Apparently 'In HD' wasn't the correct answer."
